iter	Passed	Remaining
0	1	107
1	1	83
2	3	100
3	4	101
4	5	106
5	7	110
6	8	111
7	9	109
8	11	112
9	12	113
10	13	111
11	14	108
12	15	106
13	17	106
14	18	103
15	19	101
16	20	100
17	21	99
18	22	97
19	24	96
20	25	95
21	26	93
22	27	92
23	28	90
24	29	88
25	30	86
26	31	85
27	32	84
28	33	83
29	34	81
30	35	79
31	36	78
32	38	77
33	38	75
34	39	73
35	40	72
36	41	70
37	42	69
38	43	67
39	44	66
40	44	64
41	45	62
42	45	60
43	46	59
44	47	58
45	48	56
46	49	55
47	50	54
48	50	52
49	51	51
50	52	50
51	53	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	57	40
59	58	38
60	59	37
61	59	36
62	60	35
63	61	34
64	61	33
65	62	32
66	62	30
67	63	29
68	64	28
69	64	27
70	65	26
71	65	25
72	66	24
73	67	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	13
84	73	13
85	74	12
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	79	4
95	80	3
96	80	2
97	81	1
98	81	0
99	82	0
