iter	Passed	Remaining
0	48	48261
1	49	24842
2	51	16976
3	52	12984
4	53	10568
5	54	8986
6	55	7853
7	56	7005
8	58	6401
9	60	5972
10	61	5572
11	63	5211
12	64	4900
13	65	4628
14	67	4410
15	68	4223
16	69	4033
17	70	3869
18	72	3727
19	73	3599
20	74	3481
21	76	3381
22	77	3287
23	78	3201
24	79	3119
25	81	3044
26	82	2973
27	83	2912
28	85	2852
29	86	2798
30	87	2745
31	89	2701
32	90	2659
33	92	2617
34	93	2574
35	94	2533
36	95	2493
37	97	2458
38	98	2422
39	99	2391
40	100	2361
41	102	2331
42	103	2303
43	104	2276
44	106	2254
45	107	2230
46	108	2208
47	110	2182
48	111	2159
49	112	2136
50	113	2116
51	114	2092
52	115	2070
53	116	2048
54	117	2026
55	118	2004
56	119	1983
57	120	1961
58	121	1941
59	123	1927
60	124	1910
61	125	1892
62	126	1875
63	127	1860
64	128	1844
65	129	1827
66	130	1810
67	131	1795
68	131	1780
69	132	1763
70	133	1747
71	134	1732
72	135	1717
73	136	1702
74	136	1686
75	137	1670
76	138	1654
77	138	1639
78	139	1624
79	139	1609
80	140	1595
81	141	1580
82	141	1563
83	142	1549
84	142	1535
85	143	1521
86	143	1507
87	144	1494
88	144	1482
89	145	1470
90	145	1457
91	146	1443
92	146	1430
93	147	1417
94	147	1404
95	147	1392
96	148	1379
97	148	1367
98	148	1355
99	149	1343
100	149	1332
101	150	1321
102	150	1310
103	150	1299
104	151	1288
105	151	1278
106	151	1267
107	152	1257
108	152	1247
109	153	1238
110	153	1228
111	153	1218
112	154	1209
113	154	1200
114	154	1190
115	155	1181
116	155	1172
117	155	1164
118	156	1155
119	156	1146
120	156	1138
121	156	1129
122	157	1121
123	157	1113
124	157	1104
125	158	1097
126	158	1089
127	158	1081
128	159	1074
129	159	1067
130	159	1059
131	160	1052
132	160	1045
133	160	1038
134	161	1031
135	161	1024
136	161	1017
137	161	1011
138	162	1004
139	162	998
140	162	991
141	162	984
142	163	978
143	163	971
144	163	965
145	164	959
146	164	953
147	164	947
148	164	942
149	165	936
150	165	930
151	165	924
152	165	918
153	166	913
154	166	907
155	166	902
156	166	896
157	167	891
158	167	886
159	167	880
160	167	875
161	168	869
162	168	864
163	168	859
164	168	854
165	169	850
166	169	845
167	169	840
168	169	835
169	170	831
170	170	826
171	170	821
172	171	817
173	171	813
174	171	808
175	171	804
176	171	799
177	172	795
178	172	791
179	172	787
180	173	783
181	173	778
182	173	774
183	173	770
184	174	766
185	174	763
186	174	759
187	174	755
188	175	751
189	175	747
190	175	744
191	175	740
192	176	736
193	176	733
194	176	729
195	177	726
196	177	722
197	177	719
198	177	715
199	178	712
200	178	708
201	178	705
202	178	702
203	179	699
204	179	695
205	179	692
206	179	689
207	180	686
208	180	682
209	180	679
210	180	676
211	181	673
212	181	670
213	181	667
214	181	664
215	182	661
216	182	658
217	182	655
218	183	652
219	183	649
220	183	646
221	183	643
222	184	641
223	184	638
224	184	635
225	184	633
226	185	630
227	185	627
228	185	625
229	185	622
230	186	619
231	186	617
232	186	614
233	186	612
234	187	609
235	187	607
236	187	604
237	188	602
238	188	599
239	188	597
240	188	594
241	189	592
242	189	589
243	189	587
244	189	585
245	190	583
246	190	580
247	190	578
248	191	576
249	191	574
250	191	571
251	191	569
252	192	567
253	192	565
254	192	562
255	192	560
256	193	558
257	193	556
258	193	554
259	194	552
260	194	550
261	194	548
262	195	546
263	195	544
264	195	542
265	196	540
266	196	538
267	196	536
268	196	534
269	197	532
270	197	530
271	197	528
272	197	527
273	198	525
274	198	523
275	198	521
276	199	519
277	199	517
278	199	515
279	199	513
280	200	512
281	200	510
282	200	508
283	200	506
284	201	504
285	201	503
286	201	501
287	202	499
288	202	497
289	202	496
290	202	494
291	203	492
292	203	490
293	203	489
294	204	487
295	204	485
296	204	484
297	204	482
298	205	480
299	205	479
300	205	477
301	205	476
302	206	474
303	206	472
304	206	471
305	207	469
306	207	468
307	207	466
308	207	464
309	208	463
310	208	461
311	208	460
312	209	458
313	209	457
314	209	455
315	209	454
316	210	452
317	210	451
318	210	449
319	210	448
320	211	446
321	211	445
322	211	444
323	212	442
324	212	441
325	212	439
326	212	438
327	213	436
328	213	435
329	213	433
330	214	432
331	214	431
332	214	429
333	214	428
334	215	426
335	215	425
336	215	424
337	215	422
338	216	421
339	216	420
340	216	418
341	216	417
342	217	416
343	217	414
344	217	413
345	218	412
346	218	410
347	218	409
348	218	408
349	219	407
350	219	405
351	219	404
352	220	403
353	220	401
354	220	400
355	220	399
356	221	398
357	221	396
358	221	395
359	221	394
360	222	393
361	222	392
362	222	390
363	222	389
364	223	388
365	223	387
366	223	385
367	224	384
368	224	383
369	224	382
370	224	381
371	225	380
372	225	379
373	225	377
374	226	376
375	226	375
376	226	374
377	226	373
378	227	372
379	227	371
380	227	370
381	228	368
382	228	367
383	228	366
384	228	365
385	229	364
386	229	363
387	229	362
388	230	361
389	230	360
390	230	359
391	230	358
392	231	356
393	231	355
394	231	354
395	231	353
396	232	352
397	232	351
398	232	350
399	233	349
400	233	348
401	233	347
402	233	346
403	234	345
404	234	344
405	234	343
406	235	342
407	235	341
408	235	340
409	235	339
410	236	338
411	236	337
412	236	336
413	236	335
414	237	334
415	237	333
416	237	332
417	237	331
418	238	330
419	238	329
420	238	328
421	239	327
422	239	326
423	239	325
424	239	324
425	240	323
426	240	322
427	240	321
428	240	320
429	241	319
430	241	318
431	241	317
432	242	316
433	242	316
434	242	315
435	242	314
436	243	313
437	243	312
438	243	311
439	243	310
440	244	309
441	244	308
442	244	307
443	245	306
444	245	306
445	245	305
446	245	304
447	246	303
448	246	302
449	246	301
450	247	300
451	247	299
452	247	299
453	247	298
454	248	297
455	248	296
456	248	295
457	248	294
458	249	293
459	249	292
460	249	292
461	250	291
462	250	290
463	250	289
464	250	288
465	251	287
466	251	286
467	251	286
468	251	285
469	252	284
470	252	283
471	252	282
472	253	281
473	253	281
474	253	280
475	253	279
476	254	278
477	254	277
478	254	277
479	254	276
480	255	275
481	255	274
482	255	273
483	256	272
484	256	272
485	256	271
486	256	270
487	257	269
488	257	269
489	257	268
490	258	267
491	258	266
492	258	265
493	258	265
494	259	264
495	259	263
496	259	262
497	259	262
498	260	261
499	260	260
500	260	259
501	261	258
502	261	258
503	261	257
504	261	256
505	262	255
506	262	255
507	262	254
508	262	253
509	263	252
510	263	252
511	263	251
512	264	250
513	264	249
514	264	249
515	264	248
516	265	247
517	265	246
518	265	246
519	265	245
520	266	244
521	266	244
522	266	243
523	267	242
524	267	241
525	267	241
526	267	240
527	268	239
528	268	238
529	268	238
530	268	237
531	269	236
532	269	236
533	269	235
534	270	234
535	270	234
536	270	233
537	270	232
538	271	231
539	271	231
540	271	230
541	271	229
542	272	229
543	272	228
544	272	227
545	273	227
546	273	226
547	273	225
548	273	225
549	274	224
550	274	223
551	274	223
552	275	222
553	275	221
554	275	220
555	275	220
556	276	219
557	276	218
558	276	218
559	276	217
560	277	216
561	277	216
562	277	215
563	278	214
564	278	214
565	278	213
566	278	212
567	279	212
568	279	211
569	279	210
570	279	210
571	280	209
572	280	209
573	280	208
574	280	207
575	281	207
576	281	206
577	281	205
578	282	205
579	282	204
580	282	203
581	282	203
582	283	202
583	283	202
584	283	201
585	284	200
586	284	200
587	284	199
588	284	198
589	285	198
590	285	197
591	285	196
592	286	196
593	286	195
594	286	195
595	286	194
596	287	193
597	287	193
598	287	192
599	288	192
600	288	191
601	288	190
602	288	190
603	289	189
604	289	188
605	289	188
606	289	187
607	290	187
608	290	186
609	290	185
610	291	185
611	291	184
612	291	184
613	291	183
614	292	182
615	292	182
616	292	181
617	293	181
618	293	180
619	293	179
620	293	179
621	294	178
622	294	178
623	294	177
624	294	176
625	295	176
626	295	175
627	295	175
628	296	174
629	296	174
630	296	173
631	296	172
632	297	172
633	297	171
634	297	171
635	297	170
636	298	169
637	298	169
638	298	168
639	299	168
640	299	167
641	299	167
642	299	166
643	300	165
644	300	165
645	300	164
646	300	164
647	301	163
648	301	163
649	301	162
650	302	161
651	302	161
652	302	160
653	302	160
654	303	159
655	303	159
656	303	158
657	304	158
658	304	157
659	304	156
660	304	156
661	305	155
662	305	155
663	305	154
664	306	154
665	306	153
666	306	153
667	306	152
668	307	151
669	307	151
670	307	150
671	307	150
672	308	149
673	308	149
674	308	148
675	309	148
676	309	147
677	309	147
678	309	146
679	310	145
680	310	145
681	310	144
682	310	144
683	311	143
684	311	143
685	311	142
686	312	142
687	312	141
688	312	141
689	312	140
690	313	140
691	313	139
692	313	138
693	313	138
694	314	137
695	314	137
696	314	136
697	314	136
698	315	135
699	315	135
700	315	134
701	316	134
702	316	133
703	316	133
704	316	132
705	317	132
706	317	131
707	317	131
708	317	130
709	318	129
710	318	129
711	318	128
712	319	128
713	319	127
714	319	127
715	319	126
716	320	126
717	320	125
718	320	125
719	320	124
720	321	124
721	321	123
722	321	123
723	322	122
724	322	122
725	322	121
